id,title,description,description_plain
750012,Griffrex,"มีถิ่นกำเนิดในภูมิภาคเซปติมอนต์ Griffrex เคยอาศัยรวมกับบรรพบุรุษชาวเซปติมอนต์ที่ลี้ภัยในรินาซิตา
การบุกโจมตีครั้งแรกของคลื่นทมิฬ ได้ทำลายเทือกเขาชายแดนอันเป็นที่อยู่อาศัยของ Griffrex ทำให้ Griffrex สูญพันธุ์ไป นับแต่นั้นมา Griffrex ส่วนใหญ่จึงปรากฏในรูปแบบเอคโค่ทั่วไป ซึ่งสร้างโดยคลื่นความถี่คงที่จากเสาเรโซแนนซ์เน็กซัส
เมื่อเวลาผ่านไป ชาวเซปติมอนต์สังเกตพบว่าเอคโค่ Griffrex ยังคงมีสัญชาตญาณการล่า และรับรู้ความถี่ภายนอกได้ พวกมันจึงได้รับการฝึกเป็นเอคโค่สาธารณะสำหรับการล่า เพื่อแกะรอยและโจมตีสมุนคลื่นทมิฬ","มีถิ่นกำเนิดในภูมิภาคเซปติมอนต์ Griffrex เคยอาศัยรวมกับบรรพบุรุษชาวเซปติมอนต์ที่ลี้ภัยในรินาซิตา
การบุกโจมตีครั้งแรกของคลื่นทมิฬ ได้ทำลายเทือกเขาชายแดนอันเป็นที่อยู่อาศัยของ Griffrex ทำให้ Griffrex สูญพันธุ์ไป นับแต่นั้นมา Griffrex ส่วนใหญ่จึงปรากฏในรูปแบบเอคโค่ทั่วไป ซึ่งสร้างโดยคลื่นความถี่คงที่จากเสาเรโซแนนซ์เน็กซัส
เมื่อเวลาผ่านไป ชาวเซปติมอนต์สังเกตพบว่าเอคโค่ Griffrex ยังคงมีสัญชาตญาณการล่า และรับรู้ความถี่ภายนอกได้ พวกมันจึงได้รับการฝึกเป็นเอคโค่สาธารณะสำหรับการล่า เพื่อแกะรอยและโจมตีสมุนคลื่นทมิฬ"
750013,หินสมอ,"อุปกรณ์ขนาดเล็กที่ทำจากวัสดุที่ได้จากลิ่มปักธรณีร่วมกับทาเซไทต์ใต้ดิน สามารถให้พลังงานแก่เสาพันธนาการสมอและใช้เสาพันธนาการสมอเพื่อเพิ่มความถี่ของมัน เพื่อขับไล่คลื่นทมิฬและสมุนคลื่นทมิฬ
กลาดิเอเตอร์จากเซปติมอนต์มักจะตั้งเสาพันธนาการสมอที่หินสมอไว้ในสนามการล่าหลัก———ป่าสีชาด พวกเขาใช้หินสมอและเสาพันธนาการสมอเพื่อขับไล่คลื่นทมิฬหรือสมุนคลื่นทมิฬไปยังพื้นที่ใกล้กับชั้นล่างของลิ่มปักธรณี จากนั้นจึงดำเนินการล่า การกระทำนี้สามารถรับประกันได้อย่างมีประสิทธิภาพว่าคลื่นทมิฬจะถูกกักขังโดยลิ่มปักธรณี","อุปกรณ์ขนาดเล็กที่ทำจากวัสดุที่ได้จากลิ่มปักธรณีร่วมกับทาเซไทต์ใต้ดิน สามารถให้พลังงานแก่เสาพันธนาการสมอและใช้เสาพันธนาการสมอเพื่อเพิ่มความถี่ของมัน เพื่อขับไล่คลื่นทมิฬและสมุนคลื่นทมิฬ
กลาดิเอเตอร์จากเซปติมอนต์มักจะตั้งเสาพันธนาการสมอที่หินสมอไว้ในสนามการล่าหลัก———ป่าสีชาด พวกเขาใช้หินสมอและเสาพันธนาการสมอเพื่อขับไล่คลื่นทมิฬหรือสมุนคลื่นทมิฬไปยังพื้นที่ใกล้กับชั้นล่างของลิ่มปักธรณี จากนั้นจึงดำเนินการล่า การกระทำนี้สามารถรับประกันได้อย่างมีประสิทธิภาพว่าคลื่นทมิฬจะถูกกักขังโดยลิ่มปักธรณี"
750014,เสาพันธนาการสมอ,"อุปกรณ์ที่สามารถนำไปติดตั้งในภาคสนามเพื่อขยายความถี่ที่เกิดจากหินสมอ เมื่อใส่หินสมอเข้าไป จะเกิดสนามพลังในการปัดเป่าคลื่นทมิฬและสมุนคลื่นทมิฬ
กลาดิเอเตอร์จากเซปติมอนต์มักจะตั้งเสาพันธนาการสมอในสนามการล่าหลัก———ป่าสีชาด พวกเขาใช้หินสมอและเสาพันธนาการสมอเพื่อขับไล่คลื่นทมิฬหรือสมุนคลื่นทมิฬไปยังพื้นที่ใกล้กับชั้นล่างของลิ่มปักธรณี จากนั้นจึงดำเนินการล่า ซึ่งกลยุทธ์นี้ได้ผลดีอย่างยิ่งในการป้องกันไม่ให้คลื่นทมิฬแพร่ขยายออกไปนอกบริเวณกักกันรอบลิ่มปักธรณี","อุปกรณ์ที่สามารถนำไปติดตั้งในภาคสนามเพื่อขยายความถี่ที่เกิดจากหินสมอ เมื่อใส่หินสมอเข้าไป จะเกิดสนามพลังในการปัดเป่าคลื่นทมิฬและสมุนคลื่นทมิฬ
กลาดิเอเตอร์จากเซปติมอนต์มักจะตั้งเสาพันธนาการสมอในสนามการล่าหลัก———ป่าสีชาด พวกเขาใช้หินสมอและเสาพันธนาการสมอเพื่อขับไล่คลื่นทมิฬหรือสมุนคลื่นทมิฬไปยังพื้นที่ใกล้กับชั้นล่างของลิ่มปักธรณี จากนั้นจึงดำเนินการล่า ซึ่งกลยุทธ์นี้ได้ผลดีอย่างยิ่งในการป้องกันไม่ให้คลื่นทมิฬแพร่ขยายออกไปนอกบริเวณกักกันรอบลิ่มปักธรณี"
750015,ทุ่งร้างแอสโฟเดล,บริเวณที่ลึกเข้าไปในป่าสีชาด ที่เนินสูงใกล้ลิ่มผ่าปฐพี อยู่ตอนกลางส่วนล่างของที่ราบสูงแซงกวิส เป็นสมรภูมิหลักที่กลาดิเอเตอร์จะเข้าสู้กับคลื่นทมิฬและอสูรจากคลื่นทมิฬ,บริเวณที่ลึกเข้าไปในป่าสีชาด ที่เนินสูงใกล้ลิ่มผ่าปฐพี อยู่ตอนกลางส่วนล่างของที่ราบสูงแซงกวิส เป็นสมรภูมิหลักที่กลาดิเอเตอร์จะเข้าสู้กับคลื่นทมิฬและอสูรจากคลื่นทมิฬ
750016,เมืองพึมพำ,เมืองกลาดิเอเตอร์ท้อแท้อยู่ในแดนรกร้างที่ตอนล่างของที่ราบสูงแซงกวิส,เมืองกลาดิเอเตอร์ท้อแท้อยู่ในแดนรกร้างที่ตอนล่างของที่ราบสูงแซงกวิส
750017,แดนรกร้าง,หมายถึงตอนล่างของที่ราบสูงแซงกวิสซึ่งถูกคลื่นทมิฬครอบงำ เป็นเขตไร้ผู้คน มีสภาพแวดล้อมไม่เหมาะต่อการอยู่อาศัยหรือทำกิจกรรมของมนุษย์,หมายถึงตอนล่างของที่ราบสูงแซงกวิสซึ่งถูกคลื่นทมิฬครอบงำ เป็นเขตไร้ผู้คน มีสภาพแวดล้อมไม่เหมาะต่อการอยู่อาศัยหรือทำกิจกรรมของมนุษย์
750018,เมโซนา,พืชในตำนานที่ว่ากันว่าเติบโตในห้วงสมุทรบรรพวิญญาณ สามารถรอดอยู่ได้หลายปีในสภาพแวดล้อมซึ่งถูกคลื่นทมิฬครอบงำ เพราะมีความสามารถต้านทานตามธรรมชาติ เมื่อใช้เป็นยา จะสามารถชะลอเอฟเฟกต์กัดกร่อนของคลื่นทมิฬในร่างกายมนุษย์ และช่วยฟื้นฟูสติรับรู้,พืชในตำนานที่ว่ากันว่าเติบโตในห้วงสมุทรบรรพวิญญาณ สามารถรอดอยู่ได้หลายปีในสภาพแวดล้อมซึ่งถูกคลื่นทมิฬครอบงำ เพราะมีความสามารถต้านทานตามธรรมชาติ เมื่อใช้เป็นยา จะสามารถชะลอเอฟเฟกต์กัดกร่อนของคลื่นทมิฬในร่างกายมนุษย์ และช่วยฟื้นฟูสติรับรู้
750019,ร่างกัดกร่อน,"เหยื่อการกัดกร่อนของคลื่นทมิฬที่สูญเสียความรับรู้ตนเองโดยสิ้นเชิง ร่างของพวกเขาเปรียบดั่งรูปปั้นหินซึ่งมีขนาดเท่าร่างเดิม เหยื่อจะพึมพำไม่หยุด และพร่ำสวด ""เพลงศักดิ์สิทธิ์สรรเสริญคลื่นทมิฬ"" รวมถึงคำอื่นๆ ไม่เป็นภาษา มีการยืนยันว่าเสียงจากร่างกัดกร่อนบั่นทอนจิตใจ อาจส่งผลต่อการรับรู้และความสงบของจิตใจคนปกติในระดับหนึ่ง","เหยื่อการกัดกร่อนของคลื่นทมิฬที่สูญเสียความรับรู้ตนเองโดยสิ้นเชิง ร่างของพวกเขาเปรียบดั่งรูปปั้นหินซึ่งมีขนาดเท่าร่างเดิม เหยื่อจะพึมพำไม่หยุด และพร่ำสวด ""เพลงศักดิ์สิทธิ์สรรเสริญคลื่นทมิฬ"" รวมถึงคำอื่นๆ ไม่เป็นภาษา มีการยืนยันว่าเสียงจากร่างกัดกร่อนบั่นทอนจิตใจ อาจส่งผลต่อการรับรู้และความสงบของจิตใจคนปกติในระดับหนึ่ง"
750020,รูปปั้นนำทาง,วัตถุที่ดูคล้ายรูปปั้นหินขนาดใหญ่ มักพบใกล้เส้นทางที่พลุกพล่านหรือจุดที่อยู่สูง เพื่อเป็นเครื่องหมายนำทางให้ผู้สัญจร บ้างก็ว่ารูปปั้นนำทางเป็นเอคโค่พิเศษ ซึ่งก่อตัวจากความถี่ทางอารมณ์ที่เข้มข้นของกลาดิเอเตอร์ที่เดินทางผ่านบริเวณนี้ อย่างไรก็ตาม ทฤษฎีนี้ยังคงเป็นที่ถกเถียงในแวดวงวิชาการ,วัตถุที่ดูคล้ายรูปปั้นหินขนาดใหญ่ มักพบใกล้เส้นทางที่พลุกพล่านหรือจุดที่อยู่สูง เพื่อเป็นเครื่องหมายนำทางให้ผู้สัญจร บ้างก็ว่ารูปปั้นนำทางเป็นเอคโค่พิเศษ ซึ่งก่อตัวจากความถี่ทางอารมณ์ที่เข้มข้นของกลาดิเอเตอร์ที่เดินทางผ่านบริเวณนี้ อย่างไรก็ตาม ทฤษฎีนี้ยังคงเป็นที่ถกเถียงในแวดวงวิชาการ
750035,ทะเลอีเธอริก,ปรากฎการณ์ประหลาดที่แผ่ปกคลุมไปทั่วท้องฟ้าโซลาริส ซึ่งปรากฎขึ้นหลังจากมีเหตุอาดูรการณ์ครั้งหนึ่งเกิดการกลายพันธุ์ งานวิจัยปัจจุบันมองว่ามันเกิดจากการรวมตัวของพลังงานเศษเสี้ยวความถี่ที่มีระดับความหนาแน่นสูง หลังจากที่มันปกคลุมทั่วดาวเคราะห์บนห้วงเวหา การสำรวจจักรวาลของชาวโซลาริสก็หยุดชะงักลงโดยปริยาย,ปรากฎการณ์ประหลาดที่แผ่ปกคลุมไปทั่วท้องฟ้าโซลาริส ซึ่งปรากฎขึ้นหลังจากมีเหตุอาดูรการณ์ครั้งหนึ่งเกิดการกลายพันธุ์ งานวิจัยปัจจุบันมองว่ามันเกิดจากการรวมตัวของพลังงานเศษเสี้ยวความถี่ที่มีระดับความหนาแน่นสูง หลังจากที่มันปกคลุมทั่วดาวเคราะห์บนห้วงเวหา การสำรวจจักรวาลของชาวโซลาริสก็หยุดชะงักลงโดยปริยาย
750036,สไตรเดอร์เกต,"ทางเข้าซึ่งสร้างขึ้นตอนที่ Exostrider และ เธรโนเดียน Aleph-1 เข้าสู่โซลาริส เหล่านักวิจัยแห่งลาไฮรอยเชื่อกันอย่างกว้างขวางว่าสามารถใช้มันเป็นเส้นทางเชื่อมไปสู่ห้วงอวกาศนอกโลกได้ เครือข่ายราก Soliskin ที่ตั้งอยู่บนนั้นจะตัดขาดพลังของ Aleph-1 ไว้ที่ด้านหลังประตูชั่วคราว จนกลายเป็นสิ่งที่เรียกกันว่า ""ประตูแห่งการผนึก""","ทางเข้าซึ่งสร้างขึ้นตอนที่ Exostrider และ เธรโนเดียน Aleph-1 เข้าสู่โซลาริส เหล่านักวิจัยแห่งลาไฮรอยเชื่อกันอย่างกว้างขวางว่าสามารถใช้มันเป็นเส้นทางเชื่อมไปสู่ห้วงอวกาศนอกโลกได้ เครือข่ายราก Soliskin ที่ตั้งอยู่บนนั้นจะตัดขาดพลังของ Aleph-1 ไว้ที่ด้านหลังประตูชั่วคราว จนกลายเป็นสิ่งที่เรียกกันว่า ""ประตูแห่งการผนึก"""
750037,สภาวะสสารสุญตาไม่เสถียร,ปรากฎการณ์พิเศษประเภทหนึ่งที่เกิดขึ้นในทุ่งน้ำแข็งโรญา สันนิษฐานว่าสาเหตุที่มันเกิดขึ้นมานั้นเป็นเพราะ ตอนที่พลังของเธรโนเดียนบริเวณพื้นที่นี้พยายามดูดกลืน Exostrider จึงเกิดการเปลี่ยนแปลงที่ผิดปกติต่อสสารสุญตา สิ่งต่างๆ ที่ได้รับผลกระทบจะอยู่ในสถานะที่ไม่เสถียร และไม่สามารถสังเกตการณ์ได้,ปรากฎการณ์พิเศษประเภทหนึ่งที่เกิดขึ้นในทุ่งน้ำแข็งโรญา สันนิษฐานว่าสาเหตุที่มันเกิดขึ้นมานั้นเป็นเพราะ ตอนที่พลังของเธรโนเดียนบริเวณพื้นที่นี้พยายามดูดกลืน Exostrider จึงเกิดการเปลี่ยนแปลงที่ผิดปกติต่อสสารสุญตา สิ่งต่างๆ ที่ได้รับผลกระทบจะอยู่ในสถานะที่ไม่เสถียร และไม่สามารถสังเกตการณ์ได้
750038,เครื่องจัดโครงสร้างโมดูล,"อุปกรณ์พิเศษที่สหพันธ์สเปซเทรคพัฒนาขึ้นมาเพื่อภารกิจวิจัยในทุ่งน้ำแข็งโรญาโดยเฉพาะ มันช่วยให้สามารถสังเกตและใช้ประโยชน์จากสิ่งที่อยู่ใน ""สภาวะสสารสุญตาไม่เสถียร"" ได้อีกครั้ง ในพื้นที่ที่มีสัญญาณมั่นคง อุปกรณ์นี้จะถูกส่งไปยังสถานที่ต่างๆ ของผู้ใช้งานโดยตรง","อุปกรณ์พิเศษที่สหพันธ์สเปซเทรคพัฒนาขึ้นมาเพื่อภารกิจวิจัยในทุ่งน้ำแข็งโรญาโดยเฉพาะ มันช่วยให้สามารถสังเกตและใช้ประโยชน์จากสิ่งที่อยู่ใน ""สภาวะสสารสุญตาไม่เสถียร"" ได้อีกครั้ง ในพื้นที่ที่มีสัญญาณมั่นคง อุปกรณ์นี้จะถูกส่งไปยังสถานที่ต่างๆ ของผู้ใช้งานโดยตรง"
750039,สถานีอวกาศสกายอาร์ก,"สถานีอวกาศสภาซาวานเทย์ที่ทะยานสู่ผืนฟ้าและโคจรอยู่บริเวณใกล้เคียงกับโซลาริส ในช่วงที่ทะเลอีเธอริกยังไม่แผ่ปกคลุมทั่วโซลาริส โปรเจกต์สำคัญในการวิจัยคือ ""หยดของเหลวแห่งทะเลอีเธอริก"" โดยมุ่งเน้นไปยังการสำรวจมิติจักรวาลที่กว้างใหญ่ยิ่งกว่าเดิม","สถานีอวกาศสภาซาวานเทย์ที่ทะยานสู่ผืนฟ้าและโคจรอยู่บริเวณใกล้เคียงกับโซลาริส ในช่วงที่ทะเลอีเธอริกยังไม่แผ่ปกคลุมทั่วโซลาริส โปรเจกต์สำคัญในการวิจัยคือ ""หยดของเหลวแห่งทะเลอีเธอริก"" โดยมุ่งเน้นไปยังการสำรวจมิติจักรวาลที่กว้างใหญ่ยิ่งกว่าเดิม"
750040,มิติสุญตา,"ห้วงมิติระดับสูงซึ่งฝังตัวลึกภายในสสารสุญตาที่มีระดับความหนาแน่นสูง ตั้งอยู่ ""ภายใน"" Aleph-1 มิติและกาลเวลาของที่นี่ต่างแปรสภาพกลายเป็นความปั่นป่วน หากสิ่งมีชีวิตใดเข้าสู่มิตินั้น ความถี่จะสลายหายไปอย่างรวดเร็ว และหวนคืนสู่ความว่างเปล่าในที่สุด","ห้วงมิติระดับสูงซึ่งฝังตัวลึกภายในสสารสุญตาที่มีระดับความหนาแน่นสูง ตั้งอยู่ ""ภายใน"" Aleph-1 มิติและกาลเวลาของที่นี่ต่างแปรสภาพกลายเป็นความปั่นป่วน หากสิ่งมีชีวิตใดเข้าสู่มิตินั้น ความถี่จะสลายหายไปอย่างรวดเร็ว และหวนคืนสู่ความว่างเปล่าในที่สุด"
750041,Snowfluff Seal,แมวน้ำที่อาศัยอยู่ในทุ่งน้ำแข็งโรญา ซึ่งตั้งชื่อตามรูปร่างกลมๆ และมีสีขาวสะอาดเหมือนสโนว์บอล พวกมันมีลักษณะนิสัยเชื่องโดยกำเนิด ไม่มีปฏิกิริยาตอบสนองใดๆ ต่อคนและสิ่งของ กิจวัตรของพวกมันมีแค่การกินและนอนแผ่นิ่งๆ เท่านั้น เมื่อสัมผัสได้ถึงอันตรายที่น่ากลัวถึงขีดสุด มันจึงจะลุกขึ้นมาแล้วแยกเขี้ยวยิงฟันเพื่อข่มขู่ศัตรู แต่หากการข่มขู่นั้นไร้ผล ก็จะรีบถอยหนีไปยังพื้นที่ที่ปลอดภัยทันที,แมวน้ำที่อาศัยอยู่ในทุ่งน้ำแข็งโรญา ซึ่งตั้งชื่อตามรูปร่างกลมๆ และมีสีขาวสะอาดเหมือนสโนว์บอล พวกมันมีลักษณะนิสัยเชื่องโดยกำเนิด ไม่มีปฏิกิริยาตอบสนองใดๆ ต่อคนและสิ่งของ กิจวัตรของพวกมันมีแค่การกินและนอนแผ่นิ่งๆ เท่านั้น เมื่อสัมผัสได้ถึงอันตรายที่น่ากลัวถึงขีดสุด มันจึงจะลุกขึ้นมาแล้วแยกเขี้ยวยิงฟันเพื่อข่มขู่ศัตรู แต่หากการข่มขู่นั้นไร้ผล ก็จะรีบถอยหนีไปยังพื้นที่ที่ปลอดภัยทันที
750042,ไขสุริยะ,ยาชนิดพิเศษที่ใช้รักษาโรคที่พบเจอได้ยากยิ่ง แต่มีคนจำนวนน้อยมากที่สามารถทนผลข้างเคียงของมันได้ ปัจจุบันนี้ยังคงอยู่ในช่วงค้นคว้าและรอการตรวจสอบ สภาพปกติของไขสุริยะจะอยู่ในลักษณะของเหลวสีทอง เมื่ออยู่ในระดับอุณหภูมิห้องอาจมีรูปแบบที่ไม่คงตัวนัก และมีเอกลักษณ์คือแผ่ความร้อนสูง ในบางกรณีซึ่งพบเจอได้น้อยมาก คือสามารถควบคุมมันให้แปรสภาพเป็นของแข็งได้,ยาชนิดพิเศษที่ใช้รักษาโรคที่พบเจอได้ยากยิ่ง แต่มีคนจำนวนน้อยมากที่สามารถทนผลข้างเคียงของมันได้ ปัจจุบันนี้ยังคงอยู่ในช่วงค้นคว้าและรอการตรวจสอบ สภาพปกติของไขสุริยะจะอยู่ในลักษณะของเหลวสีทอง เมื่ออยู่ในระดับอุณหภูมิห้องอาจมีรูปแบบที่ไม่คงตัวนัก และมีเอกลักษณ์คือแผ่ความร้อนสูง ในบางกรณีซึ่งพบเจอได้น้อยมาก คือสามารถควบคุมมันให้แปรสภาพเป็นของแข็งได้
750043,องค์กรเวชศาสตร์ฟื้นฟู Novialle,"เครือบริษัทเวชภัณฑ์ขนาดเล็กถึงกลางที่ก่อตั้งขึ้นในสหพันธรัฐใหม่ เทคโนโลยีหลักขององค์กรพัฒนาต่อยอดจากยาชนิดพิเศษที่ถูกเรียกว่า ""ไขสุริยะ"" ซึ่งถูกมองว่าเป็นผลงานที่ก้าวข้ามขีดจำกัดอย่างมาก ทั้งยังมีประเด็นถกเถียงและถูกจับตามองมาโดยตลอดเช่นกัน","เครือบริษัทเวชภัณฑ์ขนาดเล็กถึงกลางที่ก่อตั้งขึ้นในสหพันธรัฐใหม่ เทคโนโลยีหลักขององค์กรพัฒนาต่อยอดจากยาชนิดพิเศษที่ถูกเรียกว่า ""ไขสุริยะ"" ซึ่งถูกมองว่าเป็นผลงานที่ก้าวข้ามขีดจำกัดอย่างมาก ทั้งยังมีประเด็นถกเถียงและถูกจับตามองมาโดยตลอดเช่นกัน"
750044,กรงกักกัน,"ทาเซ็ตดิสคอร์ดจำนวนมากที่แพร่กระจายมาจากทุ่งร้าง
นอร์ฟอลล์ จะถูกแยกและกักขังในลานขนาดต่างๆ ภายในแดน
เสวียนฟาง ลานเหล่านี้ถูกเรียกว่า ""ลานกักกัน"" ปัจจุบันเป็นสถานที่สำหรับกำจัดทาเซ็ตดิสคอร์ด
ทาเซ็ตดิสคอร์ดแต่ละตัวจะถูกขังใน ""กรงกักกัน"" ของตัวเอง ""กรงกักกัน"" เหล่านี้ยังสามารถบรรจุหุ่นกล เพื่อขนส่งหุ่นกลที่สร้างขึ้นใหม่โดยโรงกลกลางนภา ไปยังสถานที่ที่ต้องการพวกมันได้","ทาเซ็ตดิสคอร์ดจำนวนมากที่แพร่กระจายมาจากทุ่งร้าง
นอร์ฟอลล์ จะถูกแยกและกักขังในลานขนาดต่างๆ ภายในแดน
เสวียนฟาง ลานเหล่านี้ถูกเรียกว่า ""ลานกักกัน"" ปัจจุบันเป็นสถานที่สำหรับกำจัดทาเซ็ตดิสคอร์ด
ทาเซ็ตดิสคอร์ดแต่ละตัวจะถูกขังใน ""กรงกักกัน"" ของตัวเอง ""กรงกักกัน"" เหล่านี้ยังสามารถบรรจุหุ่นกล เพื่อขนส่งหุ่นกลที่สร้างขึ้นใหม่โดยโรงกลกลางนภา ไปยังสถานที่ที่ต้องการพวกมันได้"
750045,ลานกักกัน,"ทาเซ็ตดิสคอร์ดจำนวนมากที่แพร่กระจายมาจากทุ่งร้าง
นอร์ฟอลล์ จะถูกแยกและกักขังในลานขนาดต่างๆ ภายในแดน
เสวียนฟาง ลานเหล่านี้ถูกเรียกว่า ""ลานกักกัน"" ปัจจุบันเป็นสถานที่สำหรับกำจัดทาเซ็ตดิสคอร์ด
ทาเซ็ตดิสคอร์ดแต่ละตัวจะถูกขังใน ""กรงกักกัน"" ของตัวเอง ""กรงกักกัน"" เหล่านี้ยังสามารถบรรจุหุ่นกล เพื่อขนส่งหุ่นกลที่สร้างขึ้นใหม่โดยโรงกลกลางนภา ไปยังสถานที่ที่ต้องการพวกมันได้","ทาเซ็ตดิสคอร์ดจำนวนมากที่แพร่กระจายมาจากทุ่งร้าง
นอร์ฟอลล์ จะถูกแยกและกักขังในลานขนาดต่างๆ ภายในแดน
เสวียนฟาง ลานเหล่านี้ถูกเรียกว่า ""ลานกักกัน"" ปัจจุบันเป็นสถานที่สำหรับกำจัดทาเซ็ตดิสคอร์ด
ทาเซ็ตดิสคอร์ดแต่ละตัวจะถูกขังใน ""กรงกักกัน"" ของตัวเอง ""กรงกักกัน"" เหล่านี้ยังสามารถบรรจุหุ่นกล เพื่อขนส่งหุ่นกลที่สร้างขึ้นใหม่โดยโรงกลกลางนภา ไปยังสถานที่ที่ต้องการพวกมันได้"
750046,ไตรอัศวินเงา,"หน่วยปฏิบัติการพิเศษที่ก่อตั้งโดยหน่วยพิทักษ์เสวียนฟาง มีสมาชิก 3 คน สมาชิกของพวกเขาถูกเรียกอีกอย่างว่าพลอัศวินเงา
หน่วยปฏิบัติการพิเศษนี้มีหน้าที่แก้ไขปัญหาที่พลพิทักษ์เสวียนฟางทั่วไปไม่สามารถรับมือได้","หน่วยปฏิบัติการพิเศษที่ก่อตั้งโดยหน่วยพิทักษ์เสวียนฟาง มีสมาชิก 3 คน สมาชิกของพวกเขาถูกเรียกอีกอย่างว่าพลอัศวินเงา
หน่วยปฏิบัติการพิเศษนี้มีหน้าที่แก้ไขปัญหาที่พลพิทักษ์เสวียนฟางทั่วไปไม่สามารถรับมือได้"
750047,พลอัศวินเงา,สมาชิกของไตรอัศวินเงาถูกเรียกอีกอย่างว่าพลอัศวินเงา,สมาชิกของไตรอัศวินเงาถูกเรียกอีกอย่างว่าพลอัศวินเงา
750048,กระทรวงกิจการภายนอก,"หน่วยงานที่ตั้งอยู่ในลานแกนวิถีกล มี ""หน่วยตรวจลำเลียง"" รับผิดชอบในการตรวจสอบวัสดุและสินค้าที่เข้าเมือง และมี ""หน่วยตระเวนแดน"" รับผิดชอบในการตรวจสอบตัวตนของผู้ที่เข้าเมืองและจัดการดูแลความปลอดภัยในพื้นที่","หน่วยงานที่ตั้งอยู่ในลานแกนวิถีกล มี ""หน่วยตรวจลำเลียง"" รับผิดชอบในการตรวจสอบวัสดุและสินค้าที่เข้าเมือง และมี ""หน่วยตระเวนแดน"" รับผิดชอบในการตรวจสอบตัวตนของผู้ที่เข้าเมืองและจัดการดูแลความปลอดภัยในพื้นที่"
750049,หน่วยพิทักษ์เสวียนฟาง,"ทหารรักษาเมืองที่สังกัดแดนเสวียนฟางถูกเรียกว่า ""หน่วยพิทักษ์เสวียนฟาง""","ทหารรักษาเมืองที่สังกัดแดนเสวียนฟางถูกเรียกว่า ""หน่วยพิทักษ์เสวียนฟาง"""
750050,โรงกลกลางนภา,"โรงงานกลไกที่ตั้งอยู่บนเทือกเขาฟางฉิงทางฝั่งตะวันตกของแดนเสวียนฟาง
""โรงกลกลางนภา"" ประกอบด้วย ""โรงกลพันลักษณ์"" โรงงานที่รับผิดชอบการผลิตหุ่นกล และ ""คุกหมื่นอสูร"" ที่ใช้สำหรับปราบปรามและกำจัดทาเซ็ตดิสคอร์ดอันทรงพลังโดยเฉพาะ โรงกลกลางนภาทำงานอย่างไม่หยุดหย่อนทั้งกลางวันและกลางคืน เพื่อส่งมอบกำลังเสริมและความช่วยเหลือให้แก่เมืองเสวียนฟางอย่างต่อเนื่อง","โรงงานกลไกที่ตั้งอยู่บนเทือกเขาฟางฉิงทางฝั่งตะวันตกของแดนเสวียนฟาง
""โรงกลกลางนภา"" ประกอบด้วย ""โรงกลพันลักษณ์"" โรงงานที่รับผิดชอบการผลิตหุ่นกล และ ""คุกหมื่นอสูร"" ที่ใช้สำหรับปราบปรามและกำจัดทาเซ็ตดิสคอร์ดอันทรงพลังโดยเฉพาะ โรงกลกลางนภาทำงานอย่างไม่หยุดหย่อนทั้งกลางวันและกลางคืน เพื่อส่งมอบกำลังเสริมและความช่วยเหลือให้แก่เมืองเสวียนฟางอย่างต่อเนื่อง"
750051,วิหคสานนภา,"หลังจากปักษานิลสวรรค์สูญพันธุ์ ผู้คนในแดนเสวียนฟางได้สร้างกลไกที่เรียกว่า ""วิหคสานนภา"" ขึ้นมาโดยเลียนแบบรูปร่างของมัน
ในอดีต ""วิหคสานนภา"" เหล่านี้ถูกใช้เป็นเครื่องมือสื่อสารในเขตแดนแทนปักษานิลสวรรค์
ปัจจุบันเนื่องจากมีการใช้เทอร์มินัลอย่างแพร่หลาย การส่งจดหมายด้วยวิหคสานนภาจึงไม่ใช่เครื่องมือสื่อสารหลักอีกต่อไป แต่กลายเป็นวิธีการส่งจดหมายในเชิงพิธีการแทน","หลังจากปักษานิลสวรรค์สูญพันธุ์ ผู้คนในแดนเสวียนฟางได้สร้างกลไกที่เรียกว่า ""วิหคสานนภา"" ขึ้นมาโดยเลียนแบบรูปร่างของมัน
ในอดีต ""วิหคสานนภา"" เหล่านี้ถูกใช้เป็นเครื่องมือสื่อสารในเขตแดนแทนปักษานิลสวรรค์
ปัจจุบันเนื่องจากมีการใช้เทอร์มินัลอย่างแพร่หลาย การส่งจดหมายด้วยวิหคสานนภาจึงไม่ใช่เครื่องมือสื่อสารหลักอีกต่อไป แต่กลายเป็นวิธีการส่งจดหมายในเชิงพิธีการแทน"
750052,เมืองเยวียน,"ก่อนที่จะสร้างเมืองเสวียนฟาง ""สำนักจั๋วจวิน"" และกระทรวงการพัฒนาได้ร่วมกันสร้างป้อมปราการกลไกที่เรียกว่า
""เมืองเยวียน"" เพื่อต่อต้านการบุกรุกจากทาเซ็ตดิสคอร์ดที่แพร่กระจายในทุ่งร้างนอร์ฟอลล์","ก่อนที่จะสร้างเมืองเสวียนฟาง ""สำนักจั๋วจวิน"" และกระทรวงการพัฒนาได้ร่วมกันสร้างป้อมปราการกลไกที่เรียกว่า
""เมืองเยวียน"" เพื่อต่อต้านการบุกรุกจากทาเซ็ตดิสคอร์ดที่แพร่กระจายในทุ่งร้างนอร์ฟอลล์"
